diagnostico,CIE10
Dolor de cabeza leve,G44.2
Resfriado común,J00
Inflamación de la garganta,J02.9
Presión alta,I10
Azúcar alta en la sangre,E11.9
Problemas para respirar,J98.4
Fiebre,R50.9
Tos,R05
Dolor de estómago,R10.4
Mareos,R42
Dolor en el pecho,R07.9
Ardor al orinar,R30.0
Hinchazón en las piernas,R60.0
Fatiga,R53.83
Dificultad para dormir,G47.9
Dolor de espalda,M54.5
Pérdida de apetito,R63.0
Pérdida de peso,R63.4
Visión borrosa,H53.8
Sangrado nasal,R04.0
Dolor en el pecho,R07.9
Dolor de cabeza leve,G44.2
Resfriado común,J00
Inflamación de la garganta,J02.9
Presión alta,I10
Azúcar alta en la sangre,E11.9
Problemas para respirar,J98.4
Fiebre,R50.9
Tos,R05
Dolor de estómago,R10.4
Mareos,R42
Dolor en el pecho,R07.9
Ardor al orinar,R30.0
Hinchazón en las piernas,R60.0
Fatiga,R53.83
Dificultad para dormir,G47.9
Dolor de espalda,M54.5
Pérdida de apetito,R63.0
Pérdida de peso,R63.4
Visión borrosa,H53.8
Sangrado nasal,R04.0
Picazón en la piel,L29.9
Diarrea,R19.7
Vómitos,R11
Debilidad,R53.1
Sudoración excesiva,R61
Dolor de muelas,K08.8
Acidez estomacal,R12
Ansiedad,F41.1
Depresión,F32.9
Estreñimiento,K59.0
Hemorroides,I84.9
Alergia,T78.4
Infección de oído,H66.9
Calambres musculares,M62.830
Caída del cabello,L65.9
Dolor en las articulaciones,M25.50
Herida en la piel,S81.80
Erupción cutánea,R21
Problemas de memoria,R41.3
Desmayo,R55
Palpitaciones,R00.2
Dificultad para tragar,R13
Ronquera,R49.0
Ictericia,R17
Infección urinaria,N39.0
Dificultad para concentrarse,R41.840
Hormigueo en las extremidades,R20.2
Dolor de oído,H92.0
Congestión nasal,R09.81
Dolor de cuello,M54.2
Músculos tensos,M62.830
Sensibilidad a la luz,H53.19
Moretones,R23.3
Dolor de hombro,M75.101
Dolor en el brazo,M79.601
Dolor en la pierna,M79.606
Inflamación de las encías,K05.6
Dolor en el ojo,H57.1
Visión doble,H53.2
Pérdida de audición,H91.90
Gases intestinales,R14.3
Sibilancias,R06.2
Uñas quebradizas,L60.3
Erupción por calor,L74.0
Piel seca,L85.3
Hemorroides externas,I84.3
Tinitus,H93.19
Dificultad para hablar,R47.0
Dolor en el codo,M77.9
Ruidos intestinales,R19.4
Problemas de equilibrio,R26.81
Cólicos menstruales,N94.6
Pérdida de cabello,L65.9
Dolor en el talón,M77.40
Incontinencia urinaria,R32
Pérdida de fuerza en las manos,R53.1
Espasmos musculares,M62.830
Problemas de coordinación,R27.8
Calambres menstruales,N94.6
Sudoración nocturna,R61.0
Acné,L70.0
Gingivitis,K05.10
Dolor de rodilla,M25.561
Dificultad para respirar al acostarse,R06.00
Piel amarillenta,R17
Picazón en los ojos,H57.8
Inflamación del tobillo,M25.571
Rigidez matutina,M25.50
Dificultad para despertarse,R46.0
Dolor en la mandíbula,M26.60
Enrojecimiento de la piel,R23.2
Piel descamada,L85.8
Falta de apetito,R63.0
Heridas que no cicatrizan,L98.4
Escalofríos,R68.83
Dolor al toser,R05
Náuseas,R11
Aumento de peso,R63.5
Dolor de glúteos,M54.6
Fatiga ocular,H53.14
Disminución del apetito,R63.0
Mala circulación,I99.9
Sangrado de encías,K05.1
Dificultad para eructar,R14.8
Dolor al orinar,R30.0
Fractura de hueso,S82.00XA
Sensación de hormigueo,R20.2
Pérdida de equilibrio,R26.81
Enrojecimiento ocular,H57.8
Dolor lumbar,M54.5
Falta de aire,R06.00